# _source: notebook.py::s4d_scan
n_ball,tau,N,rho,x,e_min_total,l_stop,converged,tail_frac,C_shell,C_naive,ratio_shell_FE,ratio_naive_FE,V_shell,V_naive,fpp2,sum_e_dropped,max_residual,max_z_norm,n_sectors_regularized,seconds,rho_nominal,box_ratio,ratio_shell_FE_raw,ratio_naive_FE_raw,box_correction
6,26,430,0.25,0.0384615384615,-0.000242818916528,7,True,4.40249447402e-14,0.00279212850902,0.00354832998022,0.44104939944,0.560500278455,1149.82291121,904.778684234,7.56338409296e-05,-3.97947582255e-12,1.12744685963e-18,0.811065065202,1,3.54156708717,0.25,16.5384615385,0.440915261137,0.560329811028,0.00013413830287
8,34,560,0.25,0.0294117647059,-0.00024317383296,7,True,5.74404846942e-14,0.00279550588741,0.00335242307592,0.441584958433,0.529556961871,2571.91718574,2144.66058485,3.38220127259e-05,-5.68032718876e-12,2.6556154021e-18,0.82120312424,0,6.81546497345,0.25,16.4705882353,0.441448595354,0.52939343271,0.000136363078717
2,15,250,0.166666666667,0.0666666666667,-7.17772524423e-05,7,True,2.65744577059e-15,0.00280675238229,0.0054380827407,0.443354628991,0.85899959367,64.9262481742,33.5103216383,0.000393878633535,-1.5989901119e-12,4.16437599558e-19,0.79899357247,0,0.800919055939,0.166666666667,16.6666666667,0.443224570641,0.858747605617,0.000130058349789
3,21,347,0.166666666667,0.047619047619,-7.26680020774e-05,7,True,3.5732627879e-15,0.00282709352573,0.00447623141574,0.446571329971,0.707071272453,179.070781255,113.097335529,0.000143541776069,-2.64665606652e-12,4.30645544042e-19,0.792269947119,1,1.68933820724,0.166666666667,16.5238095238,0.446436715261,0.706858132497,0.000134614709248
4,27,444,0.166666666667,0.037037037037,-7.30241425508e-05,7,True,1.99630361867e-15,0.00283655727604,0.00403322987688,0.448068403132,0.637097260704,381.179908636,268.082573106,6.75374886033e-05,-3.26294910755e-12,7.0706203315e-20,0.794574018894,0,3.27556610107,0.166666666667,16.4444444444,0.447931170809,0.636902133495,0.000137232322683
5,33,541,0.166666666667,0.030303030303,-7.32008446193e-05,7,True,1.52501879135e-15,0.00284165564677,0.0037794020102,0.448875204491,0.597004021973,696.386371546,523.598775598,3.69908558917e-05,-3.70057786342e-12,2.0899094012e-18,0.790912232714,1,5.76100301743,0.166666666667,16.3939393939,0.448736273243,0.596819243414,0.000138931247964
6,39,638,0.166666666667,0.025641025641,-7.33010119499e-05,7,True,8.80996803611e-16,0.00284470105313,0.00361514092169,0.449357307387,0.571058244804,1149.82291121,904.778684234,2.24100269421e-05,-4.30472872295e-12,1.17859052317e-18,0.83765010588,0,7.68330907822,0.166666666667,16.358974359,0.449217184541,0.57088017202,0.000140122846445
8,51,832,0.166666666667,0.0196078431373,-7.34043649953e-05,7,True,9.69401777511e-16,0.00284799507631,0.00341536909541,0.449879039774,0.539503379729,2571.91718574,2144.66058485,1.0021337104e-05,-5.26553338739e-12,1.85639486124e-18,0.840920817302,0,12.8708167076,0.166666666667,16.3137254902,0.44973735583,0.539333469687,0.000141683943783
2,20,330,0.125,0.05,-3.04949377511e-05,7,True,1.40223036691e-16,0.00282657966974,0.00547649811011,0.446490963765,0.865076242294,64.9262481742,33.5103216383,0.000166167548522,-2.05028135928e-12,2.43391870762e-20,0.824805194273,0,1.12143468857,0.125,16.5,0.446355570375,0.864813917602,0.000135393389557
3,28,459,0.125,0.0357142857143,-3.08658320871e-05,6,True,5.46705931703e-14,0.00284636870076,0.00450675044287,0.449619496839,0.711897536661,179.070781255,113.097335529,6.05566867793e-05,-2.49065170848e-12,3.48187924128e-20,0.801544774202,0,2.49589395523,0.125,16.3928571429,0.449480528898,0.711677504089,0.00013896794038
4,36,588,0.125,0.0277777777778,-3.10140639655e-05,7,True,7.9796191232e-17,0.00285561713468,0.00406033061337,0.451081987857,0.641382201484,381.179908636,268.082573106,2.84923780045e-05,-3.33041514024e-12,5.62096743408e-19,0.999974240682,0,4.88417315483,0.125,16.3333333333,0.450940983044,0.641181710266,0.00014100481286
5,44,717,0.125,0.0227272727273,-3.10875987876e-05,6,True,2.25226094464e-14,0.00286061060792,0.00380461210853,0.451871841185,0.600989548776,696.386371546,523.598775598,1.56055173293e-05,-4.33704350779e-12,2.1115999065e-20,0.785015473022,0,7.5866317749,0.125,16.2954545455,0.451729520731,0.600800262572,0.000142320454178
6,52,846,0.125,0.0192307692308,-3.11292815207e-05,7,True,8.26361248029e-17,0.00286359747065,0.00363915511895,0.452344427467,0.574854376573,1149.82291121,904.778684234,9.4542301162e-06,-4.7775660391e-12,2.03608931735e-20,0.788467371028,0,10.0429508686,0.125,16.2692307692,0.452201187188,0.574672342051,0.000143240279618
8,68,1104,0.125,0.0147058823529,-3.11722900797e-05,6,True,2.21998000809e-14,0.00286683215479,0.00343795887313,0.452856429735,0.543073921597,2571.91718574,2144.66058485,4.22775159074e-06,-6.21319825612e-12,2.06089742383e-20,0.784675932284,0,15.8135969639,0.125,16.2352941176,0.452711988034,0.5429007044,0.000144441701264
