E_min,E_star,E_ref,E_ref_static,ref_consistency,E_free_exact,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_bound2d,n_max,L,m,lam,tau0,dt,order,n_steps,chi_op_allowed,chi_op,chi_acc,chi_mpo,weight_decay,window_pad,trunc_op_weighted,trunc_acc,trunc_real,norm_ratio,h_ref_drift,dmrg_sweeps,dmrg_delta_E,dmrg_chi,dmrg_trunc,dmrg_real,mpo_variance,time_operator_s,time_dmrg_s,route,E_vac,gs_chi,svd_dense_limit,time_gs_s,time_s,tag,axis,section,threads,dev_vs_gaussian,rel_dev_vs_gaussian,shift_vs_base,rel_shift_vs_base
-0.022988278404119877,0.9095785510538127,0.9325668294579326,0.9324108607458829,0.0001559687120497033,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0147714945732558,1.0147714945732558,0.36671096324763347,6,16,0.5,0.0,0.75,0.375,4,8,16,16,64,64,0.25,2,0.00018776486294342593,1.113753042071735e-09,1.7608325000985537e-07,0.9129523097474587,0.006287493439234404,9,3.993805286484076e-12,12,3.478396745618107e-07,True,1.817607972687263e-06,78.15034222602844,305.00206899642944,mpo,11.283713962118508,16,600.0,8.375205039978027,393.165874004364,lam0_chiacc64,acc,S5g,2,-0.0003346282700202874,-0.01477149457325579,-4.604343329417393e-05,-0.0020069288520810926
-0.022902611313581844,0.9100282927329677,0.9329309040465495,0.9324108721664436,0.0005200318801059645,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.010989892490107,1.010989892490107,0.36534439456695345,6,16,0.5,0.0,0.75,0.1875,4,16,16,16,32,64,0.25,2,0.0001280897026226716,5.314617659231568e-07,3.512176899773369e-09,0.918020779829003,0.002113630799801536,9,1.4988010832439613e-14,12,1.1643850044146281e-07,True,1.4210983887430473e-06,75.60164880752563,315.5152781009674,mpo,11.283713962118508,16,600.0,4.3945300579071045,397.7490029335022,lam0_dt0.1875,trotter,S5g,2,-0.0002489611794822544,-0.010989892490107083,3.962365724385908e-05,0.0017271053711308494
-0.022921699381228122,0.9103227778755858,0.9332444772568139,0.9324108746867892,0.0008336025700247385,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0118324969946035,1.0118324969946035,0.36564888903800735,6,16,0.5,0.0,0.75,0.125,4,24,16,16,32,64,0.25,2,0.00010456180616572747,4.4141037078845527e-07,2.6525529564603373e-09,0.9213299881097211,0.0036373815860053504,9,9.414691248821327e-14,12,1.2068316861874965e-07,True,1.9074636307125914e-06,110.67039108276367,218.51465511322021,mpo,11.283713962118508,16,600.0,4.100075960159302,334.51343393325806,lam0_dt0.125,trotter,S5g,2,-0.0002680492471285323,-0.011832496994603488,2.0535589597581172e-05,0.000895099785338921
-0.02291433231636597,0.9099545302394586,0.9328688625558246,0.9324108607458829,0.00045800180994171047,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0115072926757172,1.0115072926757172,0.3655313689956442,6,16,0.5,0.0,0.75,0.375,2,8,16,16,32,64,0.25,2,0.00020074197000282673,7.432638034595817e-07,9.285713245232252e-09,0.9141776741197344,0.004605584951713704,9,3.8036240823657863e-13,12,1.0368371187843266e-07,True,1.9294604384212377e-06,20.794989109039307,294.9084680080414,mpo,11.283713962118508,16,600.0,7.14936089515686,324.4675908088684,lam0_order2,trotter,S5g,2,-0.00026068218226638074,-0.011507292675717049,2.7902654459732723e-05,0.001216213437584215
-0.006761625858057618,1.0150616472431864,1.021823273101244,1.0217569753173,6.629778394406927e-05,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2984784270098542,0.8989717917391742,0.10786202811446886,6,16,0.5,4.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.005452268439284096,4.507526908401632e-09,1.17924052608699e-08,0.8855708572920341,0.04136499850716446,9,2.8421709430404007e-13,12,2.3772738815129266e-07,True,1.2281712218342733e-06,78.77453017234802,571.4199097156525,mpo,12.330630748310826,16,600.0,3.0827009677886963,659.0100169181824,lam4_chiop32_wd0.5,mpo,S5g,2,,,-0.00019574757813511923,-0.029812855156588398
-0.007081782147848381,1.0151907331332828,1.0222725152811312,1.0217569753173,0.0005155399638312463,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.312611085009584,0.9415372160190154,0.1129691883530502,6,16,0.5,4.0,0.75,0.375,4,8,64,49,128,250,0.5,2,0.005189111324043519,5.353738366767193e-19,9.715010699547987e-11,0.8847033453759283,0.03844413882615849,9,2.9976021664879227e-14,12,1.9104679513320647e-07,True,8.845586036976272e-07,201.04705476760864,1589.3130991458893,mpo,12.330630748310826,16,600.0,6.332802057266235,1826.5769798755646,lam4_chiop64_wd0.5,mpo,S5g,2,,,-0.000515903867925882,-0.07857347424539396
-0.007837987340100439,1.0152741229740854,1.0231121103141858,1.0217569753173,0.0013551349968858872,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.34599224821179014,1.0420762211151335,0.12503223759878734,6,16,0.5,4.0,0.75,0.375,4,8,32,32,64,128,1.0,2,0.1598229874792445,1.6246974383610854e-06,7.451409100312e-12,0.924270605187166,0.4206720568035268,9,1.794120407794253e-13,12,1.4926102893897062e-06,True,1.2997369571721151e-06,177.7400209903717,562.5173759460449,mpo,12.330630748310826,16,600.0,3.224342107772827,750.9440641403198,lam4_chiop32_wd1,mpo,S5g,2,,,-0.0012721090601779395,-0.1937454527702507
-0.007560513833722915,1.0100246234383317,1.0175851372720546,1.0217569753173,0.004171838045245346,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.33374373617355335,1.0051855589541825,0.12060595673465947,6,16,0.5,4.0,0.75,0.375,4,8,64,64,128,256,1.0,2,0.14124186688553797,4.6142596185675205e-07,1.8912526069707032e-10,0.932923677641689,0.07408929586049207,9,8.659739592076221e-15,12,1.3412649327141106e-06,True,3.021491006283128e-06,1212.030669927597,1583.5312037467957,mpo,12.330630748310826,16,600.0,6.263367176055908,2844.987540960312,lam4_chiop64_wd1,mpo,S5g,2,,,-0.000994635553800416,-0.15148553040373391
-0.007211161765527718,1.014089368672836,1.0213005304383638,1.0217569753173,0.0004564448789361464,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.3183222890280741,0.9587384970661058,0.11503306296731002,6,16,0.5,4.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.004391620367051997,2.261226809909915e-06,7.504385091945957e-12,0.8974424572475203,0.010105950272168207,9,4.82502926502093e-13,12,6.182612799401944e-07,True,6.210570973053109e-07,3718.4801530838013,875.3049561977386,mpo,12.330630748310826,16,inf,3.694208860397339,4606.624364852905,lam4_exactsvd_chiop32_wd0.5,svd,S5g,2,,,-0.0006452834856052192,-0.09827831983702809
-0.0066354686799752205,1.0141263278861237,1.020761796566099,1.0217569878322095,0.0009951912661105844,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.292909471131415,0.8821989405341135,0.10584955812946518,6,16,0.5,4.0,0.75,0.1875,4,16,16,16,32,64,0.25,2,9.338274432821114e-05,3.979597049138377e-06,2.4377573601137772e-08,0.8581410831453247,0.004171634409222302,9,6.439293542825908e-15,12,4.401375317493483e-07,True,4.3250433745534167e-07,117.16076588630676,352.9430561065674,mpo,12.330630748310826,16,600.0,3.283782958984375,475.4329800605774,lam4_dt0.1875,trotter,S5g,2,,,-6.959040005272144e-05,-0.010598795330324469
-0.024506173152055832,0.9123061004281676,0.9368122735802235,0.9324108422115732,0.004401431368650233,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.081775917213788,1.081775917213788,0.39092454876886856,8,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,1.0,2,0.07867524234255158,4.208550440450629e-07,4.8261041070316475e-11,0.9617843623887752,0.30036547437966843,9,2.0894397323445446e-13,16,6.027095388042143e-07,True,2.6976339505546676e-06,831.8863732814789,2499.922597885132,mpo,11.283713766245164,16,600.0,12.5418381690979,3366.660765171051,lam0_best_nmax8_chiop32_wd1,combined,S5g,4,-0.0018525230179562424,-0.08177591721378787,-0.001563938181230129,-0.06816851903133664
-0.022689288580304057,0.909510454563034,0.9321997431433381,0.9324108422115732,0.00021109906823513214,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0015731878083003,1.0015731878083003,0.3619414522661983,8,16,0.5,0.0,0.75,0.375,4,8,64,64,128,225,0.5,2,0.0014914970218036102,2.316459981168064e-15,1.2451855624864627e-10,0.914403512089756,0.004587500378755216,9,3.304023721284466e-12,16,5.7065286132616614e-08,True,1.3343460942838448e-06,595.6830410957336,3935.9380321502686,mpo,11.283713766245164,16,600.0,12.382404088973999,4594.036753177643,lam0_best_nmax8_chiop64_wd0.5,combined,S5g,4,-3.563844620446677e-05,-0.0015731878083003368,0.0002529463905216467,0.011025359597410793
