E_free_exact,E_hartree_exact,E_min,E_min_analytic,E_min_trapezoid,E_ref,E_ref_static,E_star,E_star_even,E_star_odd,E_vac,L,axis,bound_2d_flanagan,chi_acc,chi_mpo,chi_op,chi_op_allowed,dim,dim_sectors,dmrg_chi,dmrg_delta_E,dmrg_real,dmrg_sweeps,dmrg_trunc,dt,gs_chi,h_ref_drift,h_vac,kernel,lam,m,mpo_variance,mu_H2,n_max,n_steps,norm_ratio,omega,order,ratio_exact_over_bound2d,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ref_consistency,route,section,sector_star,svd_dense_limit,tag,tau0,threads,time_dmrg_s,time_gs_s,time_operator_s,time_s,trunc_acc,trunc_op_weighted,trunc_real,weight_decay,window_pad
-0.01989537780959383,-0.01656752375608528,-0.0163321108188893,-0.0163321108188893,-0.016332157330905872,0.945110317353913,,0.9287782065350237,0.9287782065350237,0.9290488485601308,4.328384175806321,6,,,,,,,15625,"[7813, 7812]",,,,,,,,,0.7109618618061226,analytic,0.5,0.5,,0.3512968437081656,4,,,1.2782188733130382,,,0.8208997574810432,0.9857906986788227,,ed,S5i,0,,ed_L6_nmax4_lam0.5,0.75,2,,,,1178.702224969864,,,,,
-0.01989537780959383,-0.01989537780959383,-0.015291841175102405,,,0.9308494261223582,0.9308473718685131,0.9155575849472558,,,4.272306846281909,6,archived,-0.06268773150530625,32,57,16,16,,,12,1.3322676295501878e-14,True,5,2.0860759317934775e-09,0.375,16,0.0034505584783594,,,0.0,0.5,1.0094257429926756e-08,0.25,2,8,0.9916669911094143,,4,0.2439367450042121,0.7686127562618321,0.7686127562618321,2.0542538451406855e-06,mpo,S5i,,600.0,mpo_L6_nmax2_lam0_archived,0.75,2,3.2120368480682373,1.3655409812927246,3.4091451168060303,8.109406232833862,5.415062697049421e-11,0.0012475120651376035,7.895003008135677e-12,0.25,2
-0.01989537780959383,-0.01989537780959383,-0.015269367418368485,,,0.9308488488288341,0.9308473718685131,0.9155794814104656,,,4.272306846281909,6,generous,-0.06268773150530625,128,255,64,64,,,27,1.4432899320127035e-15,True,5,0.0,0.375,16,0.0035197375189245372,,,0.0,0.5,-3.9968028886505635e-15,0.25,2,8,0.9999691611412139,,4,0.24357824173420595,0.7674831593801341,0.7674831593801341,1.476960321045162e-06,mpo,S5i,,inf,mpo_L6_nmax2_lam0_generous,0.75,2,5.045765161514282,1.37315034866333,85.1172080039978,95.98919820785522,1.472206372200129e-16,6.167959562057733e-05,9.444125217407921e-21,1.0,
-0.01989537780959383,-0.01989537780959383,-0.018315156706108726,,,0.9297629933509705,0.9297033979406,0.9114478366448617,,,4.26969450634516,6,archived,-0.06268773150530625,32,64,16,16,,,12,3.774758283725532e-15,True,5,7.833311333826939e-08,0.375,16,0.002591495153948409,,,0.0,0.5,1.8964161152545955e-07,0.25,3,8,0.9651772535585886,,4,0.29216493030312357,0.9205734558746054,0.9205734558746054,5.9595410370483215e-05,mpo,S5i,,600.0,mpo_L6_nmax3_lam0_archived,0.75,2,14.534857988357544,1.7473409175872803,23.459645986557007,40.08054995536804,1.4589915613406182e-08,0.001303918539967908,1.0244451311078275e-12,0.25,2
-0.01989537780959383,-0.01989537780959383,-0.01833529553249258,,,0.9297115819381924,0.9297033979406,0.9113762864056998,,,4.26969450634516,6,generous,-0.06268773150530625,128,256,64,64,,,32,1.7763568394002505e-15,True,5,7.406597338076551e-11,0.375,16,0.02236360914255464,,,0.0,0.5,5.5408233556875075e-11,0.25,3,8,0.9974458090221656,,4,0.2924861865665146,0.9215856923134701,0.9215856923134701,8.183997592392522e-06,mpo,S5i,,inf,mpo_L6_nmax3_lam0_generous,0.75,2,113.24702405929565,1.460961103439331,458.0936920642853,606.5740821361542,2.2742985621469317e-12,0.0051185027673060005,8.41829393146866e-21,1.0,
-0.01989537780959383,-0.01989537780959383,-0.020366693590897267,,,0.9296958040722265,0.9295971956022661,0.9093291104813293,,,4.269509246528737,6,archived,-0.06268773150530625,32,64,16,16,,,12,1.8754886532690307e-11,True,6,4.100190239773486e-07,0.375,16,0.006474288998490674,,,0.0,0.5,8.120169715519765e-07,0.25,4,8,0.9453842336313877,,4,0.324891220368587,1.0236897125460047,1.0236897125460047,9.860846996045947e-05,mpo,S5i,,600.0,mpo_L6_nmax4_lam0_archived,0.75,2,30.145750999450684,1.4845502376556396,66.93235993385315,99.08010792732239,1.1174484904411867e-07,0.0005717711608365601,2.4239086848428932e-30,0.25,2
-0.01989537780959383,-0.01989537780959383,-0.0200524934138423,,,0.9295517111640806,0.9295888747437877,0.9094992177502383,,,4.269497295206046,6,generous,-0.06268773150530625,128,256,64,64,,,32,7.216449660063518e-15,True,11,9.875858864318615e-09,0.375,16,0.061875227668401145,,,0.0,0.5,4.1832578512313034e-09,0.25,5,8,0.9827344159365269,,4,0.3198790725446005,1.007897090759076,1.007897090759076,3.716357970706685e-05,mpo,S5i,,inf,mpo_L6_nmax5_lam0_generous,0.75,4,1882.5681540966034,0.6942930221557617,4619.633458852768,6618.47739315033,2.5574077660370872e-09,0.03492920053688671,8.033273457599894e-30,1.0,
-0.021312432451604524,-0.021312432451604524,-0.019877982342396683,,,0.9312465283449436,0.9311769882860196,0.9113685460025469,,,4.9712009759974,7,archived,-0.06268773150530625,32,64,16,16,,,12,5.218048215738236e-14,True,6,1.3899741199455447e-07,0.375,16,0.0027727905620137383,,,0.0,0.5,1.425987772973869e-06,0.25,3,8,0.9627687837968136,,4,0.3170952571591157,0.9326942097076373,0.9326942097076373,6.954005892401138e-05,mpo,S5i,,600.0,mpo_L7_nmax3_lam0_archived,0.75,2,31.087154865264893,1.7659621238708496,33.555389165878296,66.83438014984131,1.60845275465174e-08,0.001386669641997813,1.7500514309739935e-12,0.25,2
-0.01989537780959383,-0.006996472225372141,-0.0033206073747824583,,,1.0264591388849236,1.026440844767688,1.0231385315101411,,,4.664246341439967,6,archived,-0.06268773150530625,32,60,16,16,,,12,4.196643033083092e-14,True,5,4.549680593710307e-10,0.375,16,0.00438300138577663,,,4.0,0.5,2.4727839775806615e-09,0.9082070167465974,2,8,0.9855130040062244,,4,0.05297060995900582,0.1669034590125358,0.47461167111341396,1.8294117235528873e-05,mpo,S5i,,600.0,mpo_L6_nmax2_lam4_archived,0.75,2,2.763500213623047,1.3371000289916992,3.4015538692474365,7.68700909614563,1.9192736020834036e-10,0.0020966694021064634,4.712682684062488e-12,0.25,2
-0.01989537780959383,-0.006996472225372141,-0.003308960942329353,,,1.0264422745972868,1.026440844767688,1.0231333136549574,,,4.664246341439967,6,generous,-0.06268773150530625,128,256,64,64,,,27,1.1102230246251565e-15,True,5,0.0,0.375,16,0.0011991055680385942,,,4.0,0.5,-3.1086244689504383e-15,0.9082070167465974,2,8,0.9998616665996756,,4,0.05278482508254847,0.16631807518295663,0.4729470561363302,1.4298295987202891e-06,mpo,S5i,,inf,mpo_L6_nmax2_lam4_generous,0.75,2,5.384334087371826,1.336954116821289,91.39519476890564,102.9421329498291,2.123381721554433e-15,0.00027669221920860525,2.5049136670166235e-30,1.0,
-0.01989537780959383,-0.006996472225372141,-0.0033419102934035827,,,1.0219140089365728,1.021975746456015,1.0185720986431692,,,4.646688515968886,6,archived,-0.06268773150530625,32,64,16,16,,,12,1.2434497875801753e-14,True,5,1.7822690759255355e-09,0.375,16,0.019575552086337766,,,4.0,0.5,1.779200009544013e-08,0.9082070167465974,3,8,0.9382759465720568,,4,0.05331043592031567,0.16797420613907954,0.47765647968763675,6.173751944227313e-05,mpo,S5i,,600.0,mpo_L6_nmax3_lam4_archived,0.75,2,14.467468976974487,1.5150601863861084,22.805362939834595,39.10099387168884,4.6656397857631297e-08,0.0021492145726674638,2.4488480076536954e-30,0.25,2
-0.01989537780959383,-0.006996472225372141,-0.0034500471846670155,,,1.02199900478816,1.021975746456015,1.018548957603493,,,4.646688515968886,6,generous,-0.06268773150530625,128,256,64,64,,,32,6.661338147750939e-16,True,5,5.679230071149629e-13,0.375,16,0.04925234308276916,,,4.0,0.5,4.0953906932372774e-12,0.9082070167465974,3,8,0.9909154643408435,,4,0.05503544476441907,0.17340948323199748,0.49311239629533554,2.3258332144893146e-05,mpo,S5i,,inf,mpo_L6_nmax3_lam4_generous,0.75,2,56.25862789154053,1.4400160312652588,453.463711977005,545.2371289730072,3.550791200696118e-11,0.018279839304775444,3.1527230067426282e-30,1.0,
-0.01989537780959383,-0.006996472225372141,-0.005760927252165926,,,1.021517946274947,1.0214727385126878,1.0157570190227811,,,4.645378372782477,6,archived,-0.06268773150530625,32,64,16,16,,,12,1.305400232354259e-12,True,5,3.6806231381203028e-09,0.375,16,0.002858163532265756,,,4.0,0.5,9.775479603568726e-08,0.9082070167465974,4,8,0.9022635877795523,,4,0.09189879923599226,0.28956108837440253,0.8234045768486565,4.5207762259247275e-05,mpo,S5i,,600.0,mpo_L6_nmax4_lam4_archived,0.75,2,31.17408776283264,1.4652760028839111,77.69049119949341,110.9030990600586,3.8661253169751757e-07,0.0010841163736554865,2.4486516007529016e-30,0.25,2
