k_over_h W_arrow_over_E_A
1.006692568928304388e+00 1.630163980231966459e-01
1.032103188789839754e+00 1.657517905192976981e-01
1.032868406783099990e+00 1.658324864215773020e-01
1.033634192121354323e+00 1.659131452739157631e-01
1.034400545225240942e+00 1.659937670190149706e-01
1.035167466515710677e+00 1.660743515996943587e-01
1.035934956414026553e+00 1.661548989588981784e-01
1.062083703500474652e+00 1.688420510702466903e-01
1.062871149532125914e+00 1.689212749880019404e-01
1.063659179388998011e+00 1.690004597325744651e-01
1.064447793503948470e+00 1.690796052515024794e-01
1.065236992310155673e+00 1.691587114924539559e-01
1.066026776241119078e+00 1.692377784032184085e-01
1.066817145730659444e+00 1.693168059317193830e-01
1.092935091658723046e+00 1.718739409499031312e-01
1.093745411408421297e+00 1.719516144016283443e-01
1.094556331942285077e+00 1.720292467464096531e-01
1.095367853705744965e+00 1.721068379367497736e-01
1.096179977144562390e+00 1.721843879252792642e-01
1.096992702704829625e+00 1.722618966647599947e-01
1.097806030832968904e+00 1.723393641080842031e-01
1.124682650380698368e+00 1.748445667700829487e-01
1.125516508283790573e+00 1.749206186737445601e-01
1.126350984422615609e+00 1.749966277300692707e-01
1.127186079255543483e+00 1.750725938966048723e-01
1.128021793241283710e+00 1.751485171310226963e-01
1.128858126838886644e+00 1.752243973911297992e-01
1.129695080507742588e+00 1.753002346348618012e-01
1.158210491405022413e+00 1.778256902409958984e-01
1.159069207391594691e+00 1.779000126394867098e-01
1.159928560044084733e+00 1.779742906084063880e-01
1.160788549834527172e+00 1.780485241105054239e-01
1.161649177235306363e+00 1.781227131086645654e-01
1.162510442719156600e+00 1.781968575658957887e-01
1.191854168755049681e+00 1.806645232038907034e-01
1.192737828708027026e+00 1.807371031448533061e-01
1.193622143820782133e+00 1.808096373124925826e-01
1.194507114579061557e+00 1.808821256746216133e-01
1.195392741468970677e+00 1.809545681991871213e-01
1.196279024976976801e+00 1.810269648542657539e-01
1.226475127034607926e+00 1.834351040813738121e-01
1.227384455525874163e+00 1.835058933223456257e-01
1.228294458207987550e+00 1.835766356411371314e-01
1.229205135580804020e+00 1.836473310105805612e-01
