k_over_h rate_closed_form
2.229694855089019156e-01 2.238178515876032212e-02
2.276528811255045803e-01 2.323467877036603998e-02
2.324346498197125688e-01 2.411632406891895883e-02
2.373168578834196629e-01 2.502740816893359033e-02
2.423016150102540456e-01 2.596861350439058289e-02
2.473910752072165653e-01 2.694061595639843723e-02
2.525874377254671010e-01 2.794408286971694286e-02
2.578929480106630368e-01 2.897967095878491162e-02
2.633098986732577140e-01 3.004802410468361898e-02
2.688406304791808310e-01 3.114977104530700092e-02
2.744875333613270851e-01 3.228552296193040738e-02
2.802530474522907378e-01 3.345587096634469737e-02
2.861396641387931594e-01 3.466138349375265382e-02
2.921499271382574370e-01 3.590260360772219717e-02
2.982864335979965031e-01 3.718004622461614644e-02
3.045518352174890198e-01 3.849419526610441816e-02
3.109488393942282936e-01 3.984550074956149518e-02
3.174802103936399389e-01 4.123437582738603835e-02
3.241487705435724398e-01 4.266119378750932861e-02
3.309574014538781417e-01 4.412628502859548829e-02
3.379090452616108076e-01 4.562993402464431830e-02
3.450067059023776972e-01 4.717237629488751222e-02
3.522534504083974505e-01 4.875379539600397522e-02
3.596524102338213291e-01 5.037431995472507057e-02
3.672067826078940778e-01 5.203402075989808917e-02
3.749198319165353288e-01 5.373290793392502401e-02
3.827948911129434584e-01 5.547092820426147847e-02
3.908353631578261322e-01 5.724796229626184785e-02
3.990447224898839296e-01 5.906382246910733824e-02
4.074265165271802602e-01 6.091825021683431457e-02
4.159843672000466674e-01 6.281091415656245291e-02
4.247219725161879844e-01 6.474140812590549465e-02
4.336431081586599734e-01 6.670924951120518753e-02
4.427516291174127816e-01 6.871387782766874563e-02
4.520514713551049280e-01 7.075465357168947422e-02
4.615466535079054133e-01 7.283085736457731163e-02
4.712412786220230299e-01 7.494168940566395265e-02
4.811395359267089944e-01 7.708626925119164974e-02
4.912457026445012365e-01 7.926363593366293758e-02
5.015641458394930474e-01 8.147274843431553948e-02
5.120993243044220655e-01 8.371248651919042938e-02
5.228557904873997186e-01 8.598165194686074875e-02
